id,name,author,category,numReviews,soldCount,image,description,rating,price,countInStock,createdAt
1,Bhagwat Geeta,Sage Vyasa,Sprituality,3,5,/images/Saral_Gita.jpg,"The Bhagavad Gita, a sacred Hindu scripture, offers transformative guidance. Its teachings inspire righteous action, self-realization, and spiritual growth. By embracing its wisdom, individuals can find inner peace, purpose, and a path to transcend life's challenges, leading to a profound transformation of the self.",5.00,499.00,107,2023-07-08 11:01:47.552564+00:00
2,Think and Grow Rich,Napolen Hill,Self Help,2,8,/images/think_and_grow.jpg,"""Think and Grow Rich"" is a personal development and self-help book written by Napoleon Hill. It explores the power of positive thinking, visualization, and goal setting as essential tools for achieving success and wealth. The book delves into principles such as persistence, faith, and the mastery of one's mind. By adopting the mindset and strategies outlined in the book, readers are encouraged to unleash their potential, overcome obstacles, and create a life of abundance and prosperity.",4.00,299.00,100,2023-07-08 11:19:52.881697+00:00
3,Monk Who Sold His Ferrarie,Robin Sharma,Self Help,1,0,/images/sold_ferrai.png,"""The Monk Who Sold His Ferrari"" is a self-help book written by Robin Sharma. It tells the story of a successful lawyer who, overwhelmed by stress and unhappiness, embarks on a spiritual journey to find peace and fulfillment. Through the guidance of a wise monk, he learns valuable life lessons and discovers the keys to living a purposeful and meaningful life.",4.00,559.00,5,2023-07-09 11:56:04.838313+00:00
4,Atomic Habits,James Clear,Self Help,1,0,/images/ah.jpg,"""Atomic Habits"" by James Clear is a transformative self-help book that reveals the power of small habits and their profound impact on personal and professional success. Through practical strategies and engaging insights, Clear provides a roadmap for building effective habits, breaking bad ones, and creating lasting change. This book empowers readers to make incremental improvements and harness the compound effect of tiny actions, ultimately leading to remarkable transformations in all aspects of life.",4.00,499.00,100,2023-07-09 13:08:45.549971+00:00
5,Fear Not Be Strong,Swami Tathagatananda,Self Help,1,4,/images/Fear_Not_Be_Strong.jpg,"A presentation of Swami Vivekananda's Message of strength and fearlessness by the resident swami of the Vedanta Society of New York. Vivekananda's stirring words roused not only the nation of India, but many in the west who were glad to see that religion could be uplifting in one's personal life.",5.00,400.00,98,2023-07-09 13:14:20.027496+00:00
6,Billion Dollar Looser,Reeves Wiedeman,Biography,0,7,/images/billion_dollar.jpg,Fully Freaking Biography and life lessons for anyone who are longing for crazy,0.00,122.00,99,2023-07-09 13:18:31.911592+00:00
7,Mahabharata,Sage Vyasa,History,1,0,/images/mahabharata.jpg,"The Mahabharata is one of the two major ancient Indian epics, attributed to the sage Vyasa. It narrates the epic story of the Kurukshetra War between the Pandavas and the Kauravas, along with profound dialogues like the Bhagavad Gita. The Mahabharata delves into moral dilemmas, dharma, and philosophical teachings while portraying complex characters and societal dynamics.",4.00,299.00,2,2023-08-02 07:01:42.543482+00:00
8,Avaduta Gita,Swami Chetanananda,Sprituality,0,10,/images/Avaduta_Gita.jpg,"The Avadhuta Gita is a revered text in Hindu philosophy, part of the ancient Indian scripture, the Bhagavata Purana. It conveys profound spiritual teachings through the perspective of a liberated soul (avadhuta), emphasizing detachment, self-realization, and unity with the divine.",0.00,299.00,96,2023-08-02 07:11:10.534226+00:00
9,Ashtavarka Gita,Swami Chinmayananda,Sprituality,1,11,/images/Astavakra.jpeg,"The Ashtavakra Gita is a revered ancient Indian scripture that presents profound philosophical teachings attributed to Sage Ashtavakra. It focuses on self-realization, transcending the body-mind illusion, and attaining liberation (moksha) through wisdom and detachment. The dialogue between King Janaka and Sage Ashtavakra highlights the nature of reality and the path to true enlightenment.",4.00,397.00,99,2023-08-02 07:13:53.613184+00:00
10,Mandukya Upanishad,Acharya Prasant,Sprituality,2,0,/images/ma.png,"The Mandukya Upanishad is a significant ancient Indian text that forms a part of the Vedanta philosophy. It explores the nature of reality through the analysis of the syllable ""Om"" and its four states of consciousness: waking (jagrat), dreaming (svapna), deep sleep (susupti), and the transcendent state (turiya). It delves into the concept of non-duality (Advaita) and the ultimate reality (Brahman).",4.50,400.00,5,2023-08-02 07:18:06.245283+00:00
11,aaa,Sage Vyasa,Sprituality,0,0,/images/old_man_and_time.png,this is description,0.00,22.00,12,2023-12-10 10:21:27.786686+00:00
